tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt2353887	movie	Cocaine Prison	Cocaine Prison	0	2017	\N	90	Documentary,Drama
tt2354395	movie	Surprise	Surprise	0	2017	\N	82	Comedy
tt2356196	movie	Three from the Block	Three from the Block	0	2017	\N	\N	Drama
tt2357868	movie	Chicanery	Chicanery	0	2017	\N	\N	Comedy
tt2359281	movie	Shadow of the Monarch	Shadow of the Monarch	0	2017	\N	110	Action,Mystery,Thriller
tt2359352	movie	Beautiful Garden	Beautiful Garden	0	2017	\N	104	Crime,Drama
tt2359479	movie	Object Eleven	Object Eleven	0	2017	\N	92	Sci-Fi
tt2364690	movie	Ekimmu: The Dead Lust	Ekimmu: The Dead Lust	0	2017	\N	91	Horror
tt2364816	movie	An American Dog Story	An American Dog Story	0	2017	\N	\N	Animation
tt2370230	movie	All Summers End	All Summers End	0	2017	\N	110	Drama
tt2374684	movie	Into the Rainbow	Into the Rainbow	0	2017	\N	88	Action,Adventure,Family
tt2378507	movie	The Glass Castle	The Glass Castle	0	2017	\N	127	Biography,Drama
tt2379673	movie	Blackmail	Blackmail	0	2017	\N	84	Comedy
tt2380307	movie	Coco	Coco	0	2017	\N	105	Adventure,Animation,Comedy
tt2381650	movie	Proper Binge	Proper Binge	0	2017	\N	102	Comedy,Drama
tt2382622	movie	After the Wedding	After the Wedding	0	2017	\N	88	Comedy,Drama
tt2385752	movie	Modern Life Is Rubbish	Modern Life Is Rubbish	0	2017	\N	105	Comedy,Music,Romance
tt2386237	movie	Malevolent	Malevolent	0	2017	\N	\N	Horror
tt2386588	movie	The Bottomless Bag	Yakhonty. Ubiystvo	0	2017	\N	104	Drama,History,Mystery
tt2386668	movie	High on the Hog	High on the Hog	0	2017	\N	85	Action,Crime,Drama
tt2387710	movie	Journey to the Forbidden Valley	Journey to the Forbidden Valley	0	2017	\N	96	Action,Adventure,Family
tt2388703	movie	Love or War	Love or War	0	2017	\N	103	Comedy,Drama,Romance
tt2389034	movie	Super Mehra Bros	Super Mehra Bros	0	2017	\N	\N	Comedy,Drama
tt2390882	movie	Big Hair, Long Lashes	Big Hair, Long Lashes	0	2017	\N	70	Drama
tt2393793	movie	Ex-Kid	Ex-Kid	0	2017	\N	\N	Comedy
tt2393937	movie	Refuge	Refuge	0	2017	\N	90	Drama
tt2395433	movie	The Garden	The Garden	0	2017	\N	111	Fantasy
tt2396489	movie	Five Fingers for Marseilles	Five Fingers for Marseilles	0	2017	\N	120	Drama,Thriller,Western
tt2396589	movie	Mudbound	Mudbound	0	2017	\N	134	Drama,War
tt2398241	movie	Smurfs: The Lost Village	Smurfs: The Lost Village	0	2017	\N	90	Adventure,Animation,Comedy
tt2398276	movie	Rock, Paper, Scissors (R.P.S.)	Rock, Paper, Scissors (R.P.S.)	0	2017	\N	\N	Comedy
tt2401690	movie	Lost Diagnosis	Lost Diagnosis	0	2017	\N	\N	Crime,Drama,Mystery
tt2401817	movie	Veil	Veil	0	2017	\N	74	Crime,Drama,Horror
tt2406566	movie	Atomic Blonde	Atomic Blonde	0	2017	\N	115	Action,Mystery,Thriller
tt2414822	movie	The Perfect Wave	The Perfect Wave	0	2017	\N	94	Adventure,Biography,Drama
tt2417712	movie	Goon: Last of the Enforcers	Goon: Last of the Enforcers	0	2017	\N	101	Comedy,Sport
tt2421910	movie	The Guest House	The Guest House	0	2017	\N	96	Thriller
tt2427150	movie	We Are One	I Am You	0	2017	\N	86	Documentary,History,News
tt2429278	movie	The Ghost and The Whale	The Ghost and The Whale	0	2017	\N	105	Drama,Mystery,Thriller
tt2443766	movie	Bender	Bender	0	2017	\N	\N	Adventure
tt2445592	movie	Girlfriends	Girlfriends	0	2017	\N	\N	Comedy
tt2447742	movie	Scrambled	Scrambled	0	2017	\N	76	Comedy
tt2448022	movie	The Golden Age	The Golden Age	0	2017	\N	102	Musical
tt2449638	movie	Atomica	Deep Burial	0	2017	\N	81	Sci-Fi,Thriller
tt2457544	movie	Blue Mountains	Blue Mountains	0	2017	\N	134	Drama,Family,Musical
